x,Curve1
4.0696,0.0011474
4.0702,0.0010325
4.0709,0.0009176
4.0715,0.00080274
4.0501,0.0007055
4.0005,0.00063065
3.9509,0.0005558
3.9143,0.00048665
3.9215,0.0004367
3.9287,0.00038675
3.9359,0.00033679
3.9579,0.0002973
3.9861,0.00026227
3.9955,0.00023353
3.9929,0.00020871
3.9904,0.00018389
3.9879,0.00015907
3.9987,0.00014393
4.0096,0.00012886
4.0204,0.00011378
4.0313,9.871e-05
4.0482,8.642e-05
4.0715,7.7061e-05
4.0947,6.7701e-05
4.1254,5.9578e-05
4.166,5.3121e-05
4.2066,4.6665e-05
4.2416,4.1225e-05
4.272,3.6643e-05
4.3023,3.206e-05
4.3399,2.8649e-05
4.379,2.5485e-05
4.4182,2.2322e-05
4.4596,1.9643e-05
4.503,1.7392e-05
4.5543,1.5417e-05
4.619,1.3903e-05
4.6837,1.2388e-05
4.7484,1.0873e-05
4.8141,9.389e-06
4.8976,8.421e-06
4.9811,7.4542e-06
5.0772,6.5748e-06
5.2067,5.9282e-06
5.3361,5.2815e-06
5.4655,4.6348e-06
5.6313,4.1762e-06
5.8023,3.7445e-06
5.9721,3.3278e-06
6.1363,2.9845e-06
6.3229,2.6846e-06
6.5278,2.4201e-06
6.7591,2.2007e-06
7.0023,2.0017e-06
7.2995,1.865e-06
7.6073,1.741e-06
7.9179,1.633e-06
8.2425,1.5524e-06
8.6084,1.5524e-06
8.9554,1.6098e-06
9.2835,1.6898e-06
9.4623,1.8819e-06
9.5458,2.1291e-06
9.6022,2.4048e-06
9.6324,2.7125e-06
9.6135,3.0887e-06
9.5914,3.4786e-06
9.5497,3.9535e-06
9.4981,4.4514e-06
9.3993,5.0583e-06
9.3005,5.6653e-06
9.2132,6.3973e-06
9.1337,7.216e-06
9.0493,8.128e-06
8.9574,9.182e-06
8.8639,1.0324e-05
8.7656,1.1729e-05
8.6673,1.3134e-05
8.5615,1.4798e-05
8.4494,1.6686e-05
8.3392,1.8612e-05
8.2608,2.1175e-05
8.1825,2.3738e-05
8.0895,2.6894e-05
7.9935,3.0167e-05
7.9009,3.4235e-05
7.8093,3.8529e-05
7.7085,4.3305e-05
7.5922,4.8895e-05
7.4759,5.4485e-05
7.3699,6.2198e-05
7.2642,6.9952e-05
7.1579,7.7763e-05
7.0278,8.817e-05
6.8977,9.858e-05
6.779,0.00011089
6.6704,0.00012491
6.5625,0.00014011
6.4563,0.00015823
6.3471,0.00017739
6.2276,0.00020032
6.1082,0.00022385
5.9905,0.00025394
5.8728,0.00028403
5.7579,0.00032005
5.6448,0.00035965
5.5336,0.00040439
5.4246,0.00045488
5.3098,0.00051306
5.1905,0.00057731
5.0693,0.00064537
4.9416,0.00072638
4.8334,0.0008173
4.7528,0.0009222
4.6702,0.0010422
4.5861,0.001175
4.4601,0.001315
4.2869,0.001463
4.1415,0.0013242
