#x,Prompt
5.0751,7.0016e-05
5.4787,6.6289e-05
6.182,5.965e-05
6.9775,5.2637e-05
7.4964,4.7736e-05
8.1766,4.3633e-05
8.7992,3.9417e-05
9.4334,3.5055e-05
10.0329,3.2293e-05
11.2896,2.8166e-05
12.3734,2.5248e-05
13.5494,2.281e-05
14.5986,2.0367e-05
15.3826,1.8763e-05
16.2473,1.7017e-05
17.2043,1.5313e-05
18.1151,1.3943e-05
18.8876,1.3047e-05
19.8907,1.1559e-05
21.1819,1.1882e-05
22.8075,1.2073e-05
24.6292,1.2412e-05
26.7275,1.2861e-05
28.1686,1.3273e-05
29.7596,1.3645e-05
31.1201,1.3918e-05
32.2269,1.4533e-05
33.7487,1.5355e-05
35.4665,1.6097e-05
36.9884,1.6678e-05
37.9799,1.7347e-05
39.4095,1.8256e-05
40.5163,1.9062e-05
42.188,1.9984e-05
43.4793,2.0145e-05
44.563,2.1283e-05
45.6121,2.205e-05
46.7305,2.2578e-05
47.745,2.3575e-05
48.7596,2.4519e-05
49.9355,2.5304e-05

x,Displaced
4.0943,0.0011664
4.0944,0.0010493
4.0944,0.0009322
4.0944,0.0008151
4.0723,0.00071604
4.0221,0.00063985
3.9719,0.00056365
3.9347,0.00049328
3.9412,0.00044251
3.9478,0.00039174
3.9544,0.00034096
3.9757,0.00030085
4.0034,0.00026529
4.0121,0.00023613
4.009,0.00021096
4.0058,0.00018579
4.0027,0.00016062
4.0129,0.0001453
4.0231,0.00013004
4.0334,0.00011478
4.0437,9.952e-05
4.06,8.709e-05
4.0826,7.7629e-05
4.1052,6.8169e-05
4.1353,5.9963e-05
4.1753,5.3445e-05
4.2153,4.6928e-05
4.2498,4.144e-05
4.2795,3.682e-05
4.3092,3.22e-05
4.3462,2.8763e-05
4.3848,2.5578e-05
4.4233,2.2392e-05
4.4641,1.9696e-05
4.5069,1.7433e-05
4.5577,1.5447e-05
4.6218,1.3925e-05
4.6859,1.2404e-05
4.75,1.0882e-05
4.8151,9.391e-06
4.8981,8.421e-06
4.981,7.4507e-06
5.0766,6.5688e-06
5.2055,5.921e-06
5.3344,5.2732e-06
5.4633,4.6254e-06
5.6287,4.1664e-06
5.7992,3.7344e-06
5.9685,3.3175e-06
6.1323,2.9743e-06
6.3184,2.6745e-06
6.5229,2.4102e-06
6.7538,2.1911e-06
6.9966,1.9924e-06
7.2936,1.856e-06
7.6012,1.7323e-06
7.9116,1.6245e-06
8.2362,1.5442e-06
8.6022,1.5443e-06
8.9496,1.6016e-06
9.2781,1.6816e-06
9.4575,1.8735e-06
9.5416,2.1206e-06
9.5987,2.3962e-06
9.6295,2.7038e-06
9.6112,3.0803e-06
9.5897,3.4705e-06
9.5486,3.946e-06
9.4976,4.4446e-06
9.3994,5.0529e-06
9.3012,5.6612e-06
9.2143,6.3953e-06
9.1355,7.2165e-06
9.0516,8.132e-06
8.9603,9.19e-06
8.8674,1.0337e-05
8.7696,1.1749e-05
8.6718,1.316e-05
8.5666,1.4834e-05
8.455,1.6733e-05
8.3453,1.8671e-05
8.2675,2.1251e-05
8.1898,2.3832e-05
8.0973,2.7012e-05
8.0019,3.0311e-05
7.9099,3.4413e-05
7.8188,3.8744e-05
7.7186,4.3562e-05
7.6028,4.9206e-05
7.487,5.4849e-05
7.3816,6.2643e-05
7.2764,7.048e-05
7.1706,7.8373e-05
7.0411,8.89e-05
6.9115,9.943e-05
6.7933,0.0001119
6.6853,0.00012609
6.5779,0.00014148
6.4722,0.00015984
6.3636,0.00017926
6.2446,0.00020252
6.1257,0.00022638
6.0085,0.00025692
5.8913,0.00028747
5.777,0.00032405
5.6645,0.00036428
5.5538,0.00040975
5.4453,0.00046109
5.3311,0.00052026
5.2123,0.00058564
5.0917,0.00065491
4.9645,0.0007374
4.8568,0.00083
4.7767,0.0009369
4.6947,0.0010593
4.6112,0.0011947
4.4856,0.0013375
4.313,0.0014886
4.167,0.0013468
